signal,signal_col,forward_return,n_obs,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p
HY-IG Spread Level,hy_ig_spread,spy_fwd_1d,6782,0.004876142628187881,0.6880573015860035,-1.0862705018677036e-05,0.9992863638805778,0.0001181712492693169,0.9883741309842259
HY-IG Spread Level,hy_ig_spread,spy_fwd_5d,6778,0.0038334728491830426,0.7523460366194801,0.004904532649480248,0.6864250212213822,0.004868638499515799,0.5481039925848702
HY-IG Spread Level,hy_ig_spread,spy_fwd_21d,6762,-0.004504879471550431,0.7111024621794987,0.02829713968624291,0.01996800017751499,0.02167847246531982,0.007559541485081074
HY-IG Spread Level,hy_ig_spread,spy_fwd_63d,6720,-0.035596975302969874,0.0035175861145824274,0.0022516455541446386,0.8535852177696828,0.003433636063073056,0.6731972584584365
HY-IG Spread Level,hy_ig_spread,spy_fwd_126d,6657,0.025475172427788146,0.03766540003908154,-0.005424180320188466,0.6581408803313453,0.002739620170352711,0.7376756617505864
HY-IG Spread Level,hy_ig_spread,spy_fwd_252d,6531,0.07719253802308622,4.199893936994975e-10,0.07408400248776949,2.045384250090555e-09,0.06098693121785854,1.523342247019624e-13
HY-IG Spread Change,hy_ig_spread_chg,spy_fwd_1d,6781,0.060266839076695645,6.821334257611199e-07,0.009732084743312358,0.4229709934743629,0.006419068755679823,0.4327577738118106
HY-IG Spread Change,hy_ig_spread_chg,spy_fwd_5d,6777,0.022573755491617047,0.06313738449360563,0.016878815214154977,0.16472648907006404,0.01067181563578297,0.19196081516047825
HY-IG Spread Change,hy_ig_spread_chg,spy_fwd_21d,6761,0.03457704307980171,0.004463049709169365,0.014466929503198899,0.23428626864645494,0.00908391051380795,0.26727587157569643
HY-IG Spread Change,hy_ig_spread_chg,spy_fwd_63d,6719,0.016835607798232094,0.16763360709089156,0.002253247844793599,0.8534929888376075,0.001361334440902261,0.8683650694019545
HY-IG Spread Change,hy_ig_spread_chg,spy_fwd_126d,6656,-0.00528707071998547,0.666276402234536,-0.026570946131646393,0.030177871256257264,-0.018504957610374635,0.024935342607730154
HY-IG Spread Change,hy_ig_spread_chg,spy_fwd_252d,6530,-0.003953923810685371,0.7493849983373034,-0.023705713971356426,0.055425760680696844,-0.016470360320632083,0.048050573982686494
HY-IG Z-Score 252d,hy_ig_zscore_252d,spy_fwd_1d,6583,0.0018750028051130242,0.8791073634784078,0.0078106373768777075,0.526334874313067,0.005877776889554551,0.47484248906109505
HY-IG Z-Score 252d,hy_ig_zscore_252d,spy_fwd_5d,6579,-8.544550202002712e-05,0.9944712976994617,0.026798245897493113,0.02973437911476732,0.019454794911030783,0.017963640590224386
HY-IG Z-Score 252d,hy_ig_zscore_252d,spy_fwd_21d,6563,0.015565777631018102,0.20736061541773293,0.036303156999080294,0.0032671840091011406,0.02802928027894108,0.0006612346906824823
HY-IG Z-Score 252d,hy_ig_zscore_252d,spy_fwd_63d,6521,-0.014997375285421149,0.22592813399717485,-0.019368079456086346,0.1178476947502323,-0.009625019018906883,0.24379389544098784
HY-IG Z-Score 252d,hy_ig_zscore_252d,spy_fwd_126d,6458,-0.05480462575529905,1.0498102156545925e-05,-0.09053270300298658,3.1244170536418393e-13,-0.05436671598803823,5.6876297113355535e-11
HY-IG Z-Score 252d,hy_ig_zscore_252d,spy_fwd_252d,6332,-0.09904293356594593,2.809231059715412e-15,-0.06784931011991244,6.510046587703634e-08,-0.03932843853805525,2.6925887281659452e-06
HY-IG Z-Score 504d,hy_ig_zscore_504d,spy_fwd_1d,6383,0.006137855610971687,0.6239326321416002,0.0033943312178938115,0.7862885268436814,0.002543148265205267,0.7607763674511466
HY-IG Z-Score 504d,hy_ig_zscore_504d,spy_fwd_5d,6379,0.008197805047219796,0.5127058470907262,0.021582305986581563,0.0847778370606974,0.015107740803078785,0.07038041518879738
HY-IG Z-Score 504d,hy_ig_zscore_504d,spy_fwd_21d,6363,0.023200995577765577,0.06422825455975849,0.04219489332209387,0.0007608504072808609,0.030533038695924844,0.00025984871907118066
HY-IG Z-Score 504d,hy_ig_zscore_504d,spy_fwd_63d,6321,-0.005055321602549173,0.6877981084405368,0.010831396584969547,0.38923690721746385,0.010575211916142116,0.20737398159459475
HY-IG Z-Score 504d,hy_ig_zscore_504d,spy_fwd_126d,6258,-0.04009413241580473,0.0015119013135671416,-0.04000200684644275,0.001550327183356299,-0.022467444574691714,0.0076926522052788975
HY-IG Z-Score 504d,hy_ig_zscore_504d,spy_fwd_252d,6132,-0.02400175393644558,0.06019057806441018,0.06735471967328129,1.2969796677533374e-07,0.04662616478033981,4.370786756772125e-08
HY-IG Pctrank 504d,hy_ig_pctrank_504d,spy_fwd_1d,6383,-8.596741099103538e-05,0.994521043480005,0.0069357067316371404,0.5795670279607489,0.004986009832729155,0.5511244017227075
HY-IG Pctrank 504d,hy_ig_pctrank_504d,spy_fwd_5d,6379,-0.00021527822407966342,0.9862845531511876,0.025924260465172974,0.038407635892099036,0.018391129288525983,0.02783515781285372
HY-IG Pctrank 504d,hy_ig_pctrank_504d,spy_fwd_21d,6363,-0.0014200854859249812,0.9098277820349896,0.05223795555136711,3.05983789670921e-05,0.03758889730906913,7.121914246160202e-06
HY-IG Pctrank 504d,hy_ig_pctrank_504d,spy_fwd_63d,6321,-0.020818140211523586,0.0979260508234767,0.008842802989628978,0.48210607557651325,0.008094702580012584,0.3351946326345907
HY-IG Pctrank 504d,hy_ig_pctrank_504d,spy_fwd_126d,6258,-0.0511308182956327,5.195112542898188e-05,-0.010771151304230168,0.3942509557857568,-0.0003583751634039924,0.966138605688294
HY-IG Pctrank 504d,hy_ig_pctrank_504d,spy_fwd_252d,6132,-0.020079987815562302,0.11589413439065324,0.09971388087388558,5.0274724311574735e-15,0.07600937828914822,4.993715077382666e-19
HY-IG Pctrank 1260d,hy_ig_pctrank_1260d,spy_fwd_1d,5783,0.006639743469795996,0.613683439616757,0.018480473999574417,0.1599668589313015,0.013439223085605925,0.12582526010776968
HY-IG Pctrank 1260d,hy_ig_pctrank_1260d,spy_fwd_5d,5779,0.01435482455337199,0.2752420392221454,0.05241671787379898,6.703153864454444e-05,0.03835597905522051,1.2391401668755886e-05
HY-IG Pctrank 1260d,hy_ig_pctrank_1260d,spy_fwd_21d,5763,0.02393275858025536,0.06926188305153287,0.10338652293545547,3.6059526860689464e-15,0.07678773594298137,2.3795168273411024e-18
HY-IG Pctrank 1260d,hy_ig_pctrank_1260d,spy_fwd_63d,5721,0.02207466596900473,0.09501703692828067,0.11364156083830301,6.602302145631706e-18,0.0834688251112251,2.9868363686318853e-21
HY-IG Pctrank 1260d,hy_ig_pctrank_1260d,spy_fwd_126d,5658,0.022303589048695567,0.09344342742294405,0.11945124943189343,1.9616419216961865e-19,0.09253640244608793,1.7482928399866663e-25
HY-IG Pctrank 1260d,hy_ig_pctrank_1260d,spy_fwd_252d,5532,0.09113021309273119,1.1164404445573003e-11,0.22204712109138805,9.260898364234497e-63,0.15717591374317255,9.624539827438364e-69
HY-IG RoC 21d,hy_ig_roc_21d,spy_fwd_1d,6761,0.01720924907197221,0.1571040348868843,0.01528014336763386,0.20902338655633057,0.010539566580533682,0.19409388734681676
HY-IG RoC 21d,hy_ig_roc_21d,spy_fwd_5d,6757,0.03639538892611637,0.0027699818550275548,0.04072378418503926,0.000813076854934976,0.027845189685585085,0.0005985567504760432
HY-IG RoC 21d,hy_ig_roc_21d,spy_fwd_21d,6741,0.06511129234464759,8.768360636849565e-08,0.057821561079746245,2.029624208624986e-06,0.0400386611423975,8.247550280239211e-07
HY-IG RoC 21d,hy_ig_roc_21d,spy_fwd_63d,6699,0.028397514987166878,0.020109512907418366,-0.01559699692204321,0.20180943834158185,-0.010085557375146798,0.2157823329294789
HY-IG RoC 21d,hy_ig_roc_21d,spy_fwd_126d,6636,0.013687865230677684,0.26490261054494973,-0.05934883314970113,1.3114712628097603e-06,-0.03909711958543079,1.7894222481974457e-06
HY-IG RoC 21d,hy_ig_roc_21d,spy_fwd_252d,6510,-0.016709688047918368,0.1776425514607664,-0.08338744400682378,1.600012280884334e-11,-0.056576195401121014,7.645462365722943e-12
HY-IG RoC 63d,hy_ig_roc_63d,spy_fwd_1d,6719,0.021448526862620627,0.0787474632611395,0.011176667702063804,0.35966474979980717,0.007863717903353551,0.3340983581675442
HY-IG RoC 63d,hy_ig_roc_63d,spy_fwd_5d,6715,0.03988845942132248,0.0010779239618808356,0.029574829301266915,0.015367886521728338,0.020643004324491426,0.011191083029501172
HY-IG RoC 63d,hy_ig_roc_63d,spy_fwd_21d,6699,0.03501118545296622,0.004158006306419343,-0.00786067496822315,0.5200516216880987,-0.005424416557288417,0.5055555317265886
HY-IG RoC 63d,hy_ig_roc_63d,spy_fwd_63d,6657,-0.05394763482251722,1.0627697452164322e-05,-0.08039728826886916,5.0636022358403675e-11,-0.05524573741298231,1.3859428648542698e-11
HY-IG RoC 63d,hy_ig_roc_63d,spy_fwd_126d,6594,-0.0237057165779485,0.05424293850066539,-0.13642763727923832,9.129921565884674e-29,-0.09408454336058732,2.176305708573406e-30
HY-IG RoC 63d,hy_ig_roc_63d,spy_fwd_252d,6468,-0.02075439932033981,0.09511611022874854,-0.13635316806764416,3.220590653514219e-28,-0.09565693341236434,8.656713134315964e-31
HY-IG RoC 126d,hy_ig_roc_126d,spy_fwd_1d,6656,0.007667613349911315,0.5316766309597176,-0.0009279303486235658,0.9396654479924761,-0.000600712518084469,0.9414575079004307
HY-IG RoC 126d,hy_ig_roc_126d,spy_fwd_5d,6652,0.00788884272431965,0.5200284958546224,0.01215211174806887,0.32169824843124417,0.008789341132336972,0.28238104064742686
HY-IG RoC 126d,hy_ig_roc_126d,spy_fwd_21d,6636,0.013965890969933595,0.2553186134387907,0.0007121973454379353,0.9537439711069641,0.0005690766398213007,0.9445776735277566
HY-IG RoC 126d,hy_ig_roc_126d,spy_fwd_63d,6594,-0.05055610172465537,4.00522769812582e-05,-0.07390398201544612,1.8743507819688636e-09,-0.05061427475165879,7.121852367040345e-10
HY-IG RoC 126d,hy_ig_roc_126d,spy_fwd_126d,6531,-0.015206923124836331,0.21915532953284814,-0.14487009570013393,5.739806592394271e-32,-0.0997949343767119,1.1372447537562458e-33
HY-IG RoC 126d,hy_ig_roc_126d,spy_fwd_252d,6405,-0.047586314352019196,0.00013907539563568215,-0.10952737369679812,1.4908531530407783e-18,-0.07731898743323211,1.706984999549169e-20
HY-IG MoM 21d,hy_ig_mom_21d,spy_fwd_1d,6761,0.02455148960448441,0.04352001182438819,0.01455449577726941,0.23146644646186224,0.010349689036469451,0.20282852070193214
HY-IG MoM 21d,hy_ig_mom_21d,spy_fwd_5d,6757,0.04487171945827121,0.00022454073938830014,0.043299205158964495,0.00037050478231942773,0.030257621992431483,0.00019542851553198647
HY-IG MoM 21d,hy_ig_mom_21d,spy_fwd_21d,6741,0.057609866352994206,2.211918799529249e-06,0.05811994413615165,1.797003337913096e-06,0.04034557990180207,7.018078994943571e-07
HY-IG MoM 21d,hy_ig_mom_21d,spy_fwd_63d,6699,-0.04094896511251637,0.0008012931752668575,-0.023101736322627672,0.05866213827982845,-0.01532983320343989,0.060235551631842556
HY-IG MoM 21d,hy_ig_mom_21d,spy_fwd_126d,6636,-0.031498946627338806,0.010284638293873969,-0.07168393475962749,5.037983084769319e-09,-0.048802845367226295,2.617915343083523e-09
HY-IG MoM 21d,hy_ig_mom_21d,spy_fwd_252d,6510,-0.035881757724442596,0.0037857839327415273,-0.08853482509835217,8.30178611685792e-13,-0.062286775305856634,5.215937087799139e-14
HY-IG MoM 63d,hy_ig_mom_63d,spy_fwd_1d,6719,0.012334483340097723,0.3120634072514061,0.006698070474321529,0.5830455714963638,0.004960232537311729,0.542667526901391
HY-IG MoM 63d,hy_ig_mom_63d,spy_fwd_5d,6715,0.014085687589679312,0.2484610203703043,0.018346902449820235,0.1327654503528253,0.013373127861323332,0.10058002258016119
HY-IG MoM 63d,hy_ig_mom_63d,spy_fwd_21d,6699,-0.04108966659742292,0.0007685602499210519,-0.03212214349248329,0.00855602451050485,-0.022139539964257424,0.006623296054935903
HY-IG MoM 63d,hy_ig_mom_63d,spy_fwd_63d,6657,-0.16878146291225568,9.904390280379664e-44,-0.11062449233104929,1.4037323255123487e-19,-0.07603353076387018,1.4641363014148237e-20
HY-IG MoM 63d,hy_ig_mom_63d,spy_fwd_126d,6594,-0.09934623412628826,6.178977576862844e-16,-0.16222358721184152,4.027284716603955e-40,-0.11429942158632121,5.697150118799257e-44
HY-IG MoM 63d,hy_ig_mom_63d,spy_fwd_252d,6468,-0.05321748519138753,1.8508473573710696e-05,-0.15703494904063633,5.4889783982321175e-37,-0.11406572045317821,5.396118972852048e-43
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_1d,6530,0.0039801224891978584,0.747780677201284,0.006191705394612677,0.6168984149209462,0.004248805994311399,0.6070432433354507
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_5d,6526,-0.001695460485933828,0.8910787208809754,0.013964122781504473,0.2593571413562621,0.010328988485641153,0.21099483997937118
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_21d,6510,-0.02133413769467577,0.08521434214854655,0.027430842533204085,0.026881297401038458,0.019846482049850397,0.016374964545868727
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_63d,6468,-0.041709787500959175,0.0007928625570634167,-0.00845669338345849,0.49650396960150744,-0.0061928858753485996,0.4552973361642473
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_126d,6405,-0.009159287219237065,0.46361853845655937,-0.07046114972382667,1.6517198647976418e-08,-0.049676482819703195,2.5261818629976555e-09
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_252d,6279,0.0009160845668879086,0.9421433398450095,0.010377628895069999,0.4109726402756974,0.006263708734448436,0.4568537297944907
Spread Acceleration,hy_ig_acceleration,spy_fwd_1d,6740,0.005890685262341879,0.6287229793397129,0.007879866197202918,0.5177566075968139,0.005689316127359445,0.4839762889106495
Spread Acceleration,hy_ig_acceleration,spy_fwd_5d,6736,0.010749057424438518,0.37773861393267366,0.016897442422467036,0.1655431015169158,0.011246255091044956,0.16630871406978498
Spread Acceleration,hy_ig_acceleration,spy_fwd_21d,6720,0.01620845765439679,0.1840003627574098,0.021405521279149752,0.07932686645970854,0.014408550772916225,0.07651705952686873
Spread Acceleration,hy_ig_acceleration,spy_fwd_63d,6678,0.04768260725908668,9.696470846222744e-05,0.03919126975706278,0.0013586065001610487,0.026984782317192903,0.0009433891190613927
Spread Acceleration,hy_ig_acceleration,spy_fwd_126d,6615,0.021731731370462363,0.07716561699128571,0.034613268463672166,0.004870132953040172,0.024067462675650745,0.0033308732926769107
Spread Acceleration,hy_ig_acceleration,spy_fwd_252d,6489,-0.0006744803779462443,0.9566787385880617,0.0022536301944439023,0.8559712670245695,0.0015575066800675788,0.8507629284406414
CCC-BB Spread,ccc_bb_spread,spy_fwd_1d,6782,-0.0025788276037176532,0.8318455854799168,1.0924340708667165e-05,0.999282314664225,0.0005894053560672649,0.9420355076582421
CCC-BB Spread,ccc_bb_spread,spy_fwd_5d,6778,-0.010070753435953287,0.40711615884483915,0.010905336925416625,0.3693549327750398,0.009344446352848505,0.24879467475376438
CCC-BB Spread,ccc_bb_spread,spy_fwd_21d,6762,-0.029224096576956432,0.016251994261181672,0.04283795746006208,0.0004257415592207704,0.03582377279940026,1.004933528300072e-05
CCC-BB Spread,ccc_bb_spread,spy_fwd_63d,6720,-0.07745692633346937,2.0446346765597343e-10,0.05066554121363273,3.249541375868978e-05,0.04489161836910695,3.454070223251038e-08
CCC-BB Spread,ccc_bb_spread,spy_fwd_126d,6657,-0.050688399673221474,3.510004215459506e-05,0.061000525631002306,6.333384863525054e-07,0.054913338941876194,1.8606403652118278e-11
CCC-BB Spread,ccc_bb_spread,spy_fwd_252d,6531,0.001807686594905062,0.8838743149062053,0.16848337122056004,8.672518651972904e-43,0.1328873414544102,2.589497015268615e-58
HY-IG Spread Change (dcor),hy_ig_spread_chg,spy_ret (same day),3000,0.39065139406149235,,,,,
